Gene_ID,LSK_1,LSK_2,LSK_3,LSK_4,LSK_5,LSK_6,LSK_7,LSK_8,GMP_1,MEP-1
Rpl31,7645.0,11171.3,7439.2,7640.0,8141.4,5986.5,9147.3,10995.2,10856.6,9956.0
Klf2,51.0,62.9,91.5,105.0,133.4,136.7,74.9,152.3,100.1,132.9
Tpi1,2409.9,3116.5,3139.0,2870.5,2154.4,2432.8,2214.2,2549.7,2733.4,2533.7
Rps12,14343.9,28218.8,15855.6,29559.2,21593.5,10117.4,14104.0,14702.4,17487.6,10968.1
Ctsg,85.7,58.6,72.1,82.9,380.2,150.8,195.8,211.6,11186.7,896.5
Serbp1,12310.7,15815.6,17461.6,16084.3,13330.7,14959.1,16052.2,19693.8,19624.5,18086.5
Hsp90ab1,12521.9,24176.2,14101.7,14450.7,11795.2,12126.0,10551.3,15288.4,16099.6,13577.3
Rps20,10872.5,21492.4,9373.4,11299.6,10786.7,7043.4,12206.4,14322.1,15329.8,12023.4
Fcer1g,745.1,537.9,1068.8,1250.8,1563.5,1269.6,1564.2,1430.4,4463.1,2296.6
H2.K1,11197.1,7269.7,10724.2,8115.4,12223.5,11391.3,10571.9,10780.9,5620.4,7315.2
Emb,880.9,720.0,641.7,510.0,1171.3,559.9,583.5,709.9,3875.2,472.7
Eno1,1437.1,818.7,1345.3,1234.2,1145.9,1365.1,1271.0,638.1,737.3,607.7
Fxyd5,2840.6,3055.8,2830.1,2679.8,2734.7,2262.4,3088.1,3013.8,3427.5,2969.8
Gapdh,2204.7,2363.9,2497.3,3279.6,1592.8,2045.4,2645.1,1829.9,1973.1,1525.1
Lcp1,4571.7,3395.2,4295.6,3032.2,3759.2,4561.7,4290.8,3504.9,3721.7,2719.0
Pim1,3546.9,5785.2,4407.5,5438.4,3659.2,4473.9,3620.1,2956.4,700.1,1418.8
Rpl36,7499.1,9858.1,8752.1,11491.7,9720.9,6049.4,7597.1,15060.4,13820.7,11381.9
Slpi,16.3,23.9,65.6,55.3,181.4,57.5,115.2,77.1,1179.7,74.7
Gstm1,621.6,452.2,491.9,381.4,783.1,368.9,503.9,398.8,1388.0,134.3
Rpl7,9483.3,10594.4,9967.9,12485.4,10297.2,7816.0,9595.0,8040.1,8187.5,6907.2
Rpl38,8638.2,12834.7,8447.0,10518.8,8310.8,6237.1,8827.0,9363.0,10109.9,11465.3
Cox8a,5535.3,3615.3,5546.6,6468.0,5593.5,5136.8,5899.9,5675.6,6271.1,5036.5
Lgals1,2524.2,2755.4,1684.6,1889.3,2067.7,1332.5,1969.8,2032.3,9800.7,1866.3
Serpinb1a,715.5,530.3,658.3,422.9,776.4,520.8,738.1,859.6,2381.7,745.0
Calm2,7204.1,5453.3,6636.6,5073.5,6328.5,5333.2,8178.8,4112.6,4770.8,4272.9
Rack1,13977.5,21906.6,16905.0,21135.6,19343.0,12073.9,13337.8,14907.4,16515.6,13198.7
Arl6ip1,5800.6,4326.7,5761.1,5529.6,6015.0,5095.6,6169.7,4363.1,5662.4,4091.1
Fam162a,1075.8,670.1,1092.9,1105.6,1043.2,962.5,1312.2,525.4,468.1,479.2
mt.Nd2,8658.6,14515.5,7947.7,9028.9,8873.8,6086.3,9328.1,12838.9,18622.7,14359.6
Rac2,4064.4,3172.9,4335.4,4262.2,3947.3,3742.5,3160.2,4406.0,4627.4,3803.1
Atp5h,4877.9,2645.9,5799.9,4545.5,6223.1,4937.2,5793.2,4296.6,4990.0,4476.9
Npm1,20454.8,13640.4,18858.7,15132.0,14707.4,15472.4,25045.0,13293.1,13590.8,14216.6
Oaz1,5570.0,3683.6,5800.8,4468.2,5226.6,4939.4,5012.9,9378.9,10262.7,9160.0
Cd63,5877.2,5552.0,6068.0,5012.7,6787.4,5540.5,7787.3,6289.9,10389.9,8397.8
Rps7,8176.8,7577.6,8459.9,8850.6,9755.6,7149.7,8825.1,8078.3,8447.2,6649.3
Wfdc21,8.2,4.3,11.1,6.9,22.7,8.7,25.3,11.9,79.1,0.7
Rps16,10560.2,9171.7,10239.7,11703.2,10980.2,7416.6,10685.3,5123.8,5805.1,5216.8
Ms4a3,20.4,23.9,59.2,52.5,198.8,71.6,77.7,104.8,4994.1,237.1
Nfkbia,1106.4,878.3,1935.1,2509.8,1359.3,1498.5,1983.8,2555.7,1691.1,1406.6
Myl12a,2702.8,1637.4,2770.0,2462.8,2965.5,2642.2,3433.7,2692.8,2991.2,2862.0
Spcs2,3476.5,1532.2,4401.0,3090.3,3649.8,3826.1,4081.0,2500.3,3604.0,2416.6
Rpl22,6082.4,7569.0,6585.8,10109.7,8168.1,5398.4,7392.9,6311.0,7596.3,5942.4
Lsm4,3346.9,2532.0,3129.7,2339.8,3081.5,3084.9,3528.3,3599.1,4103.9,3897.2
Rpl18,7021.4,8816.0,7227.5,7503.1,6747.4,5604.5,7215.0,7663.7,9054.6,6780.7
Slc3a2,2543.6,2599.3,3237.0,2164.3,2009.0,3373.6,3082.5,2767.3,2939.1,3007.8
Cst3,2754.9,2986.4,2562.9,2935.5,2630.7,2034.6,2863.3,3216.2,4388.0,2663.7
Arhgdib,2310.9,1664.5,2226.4,1972.2,1890.3,1718.8,2372.5,2812.7,5066.4,3159.4
Eif2s2,3649.0,3288.9,4328.9,3987.2,3365.7,3983.4,4761.0,3534.5,3319.2,3433.8
Rps23,7324.5,5336.2,7791.4,8196.9,8835.1,6711.3,9593.1,4351.3,4507.7,4441.0
Neat1,577.7,939.1,1373.9,1930.7,1744.9,1610.3,1722.5,1746.2,2180.8,1576.1
Tmed3,860.5,932.6,1005.0,717.3,991.2,1022.2,929.2,1332.2,2899.8,994.2
Taldo1,2505.8,2343.3,2311.5,2563.7,2725.4,2137.6,2675.1,2254.4,4001.7,2546.6
Fcgr3,24.5,29.3,25.9,30.4,190.8,51.0,85.2,83.7,2164.6,192.5
Hspa8,7801.2,7717.5,7699.0,6602.0,6991.5,6927.3,6284.9,10136.3,9470.6,9030.0
Micos10,4173.6,3715.1,4325.2,4165.5,4075.4,4027.9,4796.6,3947.2,4280.4,3909.4
Slc25a5,5747.6,2912.6,5785.1,4584.2,5546.8,5159.6,6195.9,4603.7,4452.2,5163.0
Rps17,13024.1,15117.3,12850.8,16686.8,13318.7,9329.7,13231.1,10027.5,11194.8,8070.2
Dbi,3774.5,4045.8,3918.4,4390.8,3383.0,3392.0,4192.4,3045.4,4767.5,2816.0
Rpl6,8192.1,8221.8,9411.3,11751.5,9071.2,7654.3,9229.7,6211.5,6387.5,5451.0
Cox6b1,4256.3,4681.3,4081.1,5376.2,3803.2,3317.1,4894.9,3678.2,4217.5,3445.3
Gdi2,2940.6,3073.1,2673.9,2169.8,2866.8,2292.8,2307.0,2825.9,3096.7,2589.0
Rpl30,9724.2,22324.1,11545.2,17055.8,13022.5,8312.9,9949.1,10187.0,11103.5,8424.4
Laptm5,3616.3,5151.9,3005.8,3001.8,3649.8,3650.3,2647.9,5371.0,4958.2,4753.5
Cotl1,815.5,971.6,788.7,767.0,852.4,774.8,608.8,1296.0,2526.5,2110.6
mt.Nd6,4306.3,7160.1,4648.8,5446.6,5652.2,3934.6,4839.6,11380.8,13676.0,9329.5
Eif3f,6101.7,5755.9,5944.1,5221.4,6465.9,5390.8,5213.4,5285.3,5575.1,5106.2
Sf3b1,3524.5,2091.8,4230.0,3459.3,3547.1,3668.7,3662.3,3517.4,3579.6,4014.3
Rplp2,7359.2,10814.5,7663.9,10315.6,9566.1,5813.9,7778.8,7826.5,8552.7,6522.1
Napsa,764.5,953.2,605.6,641.3,839.1,558.8,590.1,860.2,1762.1,627.9
Macroh2a1,9573.1,12352.1,7888.5,7091.3,9692.9,6360.8,6163.1,11567.4,13573.8,10588.8
Top2a,4823.8,7031.1,5851.7,5662.2,4059.4,5145.5,5893.4,5537.8,5805.1,5758.5
Ubc,1381.0,2000.7,940.3,1418.0,885.8,1357.5,739.0,2976.2,3024.3,2793.8
Atp6v0e,2191.4,2246.8,2278.2,2932.7,2634.7,1938.0,2189.9,2224.7,3275.3,2045.9
Pycard,1036.0,874.0,981.9,1159.5,917.8,761.7,864.5,1002.0,1330.5,895.1
Flot1,1198.3,587.7,1301.8,837.5,1135.2,1378.1,1102.4,1251.8,1365.0,1209.7
Rpl12,8855.6,19680.4,9285.6,15900.4,11029.5,6315.3,7808.8,8746.7,10360.8,7152.1
Arpc5,2049.6,1224.3,2356.8,1434.6,2625.3,2156.1,2351.0,1992.1,2534.6,2159.4
P4hb,1585.1,1765.4,1474.7,1733.1,1632.8,1380.2,1183.9,1806.8,3751.5,1882.9
Rps9,4950.4,4621.6,5227.6,5479.8,5644.2,4213.4,5779.1,4137.7,4427.9,3726.9
Cyba,406.2,525.9,478.9,476.8,460.2,329.9,505.8,760.7,1160.1,623.5
Clec12a,131.7,108.4,67.5,69.1,290.8,84.6,141.4,341.5,3288.1,325.4
Rpl7a,6109.9,5735.3,6654.2,7413.3,7203.6,5172.7,6902.1,4823.9,4900.7,4045.9
Hsp90b1,4450.3,4180.3,5694.5,4700.3,4591.6,4837.4,6318.6,3188.5,5997.2,3803.1
Anp32b,6975.5,12512.6,10648.4,11142.1,7251.6,10348.6,13391.2,7154.1,6840.0,7595.4
Cox4i1,4694.2,5433.8,4955.8,4826.1,4382.2,3905.3,5060.7,4640.7,5663.0,4413.0
Naca,6589.6,5245.1,7142.4,7859.7,6875.4,6384.7,8159.1,4475.9,5094.2,4392.1
Son,4104.2,4031.7,4980.7,4636.8,3808.6,4381.6,4860.3,6079.0,6848.8,6207.5
Ctsd,2055.7,2285.9,2120.1,1840.9,2435.9,2619.4,1938.9,2740.2,2697.6,2684.6
Il1r2,10.2,16.3,10.2,4.1,40.0,7.6,20.6,15.8,3.4,1.4
Atp5b,5164.7,4572.8,5365.3,4437.8,4733.0,5237.8,4543.7,5422.4,5358.6,5502.0
Cox7a2,3148.9,2918.1,3022.5,3804.8,2482.6,2414.3,3235.2,2853.6,3727.1,3067.5
H2.D1,5093.3,2452.9,4651.6,3991.3,5169.3,5118.4,4596.1,5040.8,3203.6,4366.3
Ube2d3,2926.3,1749.1,2720.1,2093.8,2913.5,2336.2,2883.9,2792.3,2888.3,2630.7
Gsr,500.1,489.1,392.9,449.2,500.3,539.3,416.8,170.1,710.9,196.1
Esd,1648.4,1452.0,1706.8,1619.8,1995.7,1468.1,1926.7,1644.0,1582.8,1558.2
Hp,30.6,62.9,12.0,12.4,74.7,11.9,45.0,34.3,2968.2,35.9
Cstb,525.7,290.6,452.1,413.2,508.3,421.0,598.5,371.1,468.1,387.9
Alox5ap,973.7,613.8,1018.0,1018.6,1081.9,791.0,1028.4,967.0,1896.7,851.3
Cnn2,1029.9,1634.2,1171.4,1337.8,964.5,1242.4,1067.8,1222.1,1862.9,1302.4
Cox7c,3062.1,2692.5,2852.3,3868.3,3178.9,2328.6,3366.3,2323.6,2624.5,2299.5
Rbm8a,4020.5,2335.7,4852.2,2932.7,3597.8,4151.6,4655.1,3155.5,3362.5,3168.8
Cdc42,2710.0,2481.1,3004.0,3120.7,2994.8,2684.5,3226.7,3055.3,3102.1,2894.3
mt.Rnr2,2145.5,4533.8,2570.3,2950.7,3880.6,2106.2,2567.3,1945.9,2479.8,1818.9
Cox7a2l,2311.9,2207.8,2499.1,1838.1,2503.9,2228.8,2547.7,2752.7,2701.6,2454.0
Hnrnpc,5506.7,4194.4,6281.6,5079.0,4867.8,4991.4,6709.2,3620.9,3968.6,4044.5
Lrg1,4.1,2.2,1.8,1.4,5.3,0.0,2.8,0.7,4.1,2.2
Eif1,5132.1,3565.4,5617.8,5072.1,4731.7,4747.3,5751.9,3307.8,2797.0,3024.4
Ostf1,561.4,527.0,719.3,639.9,804.4,590.3,810.2,576.1,887.5,646.5
brm,158.2,261.3,139.6,179.7,619.0,414.5,243.5,504.3,40870.3,1920.9
Sri,1763.8,1046.4,1782.6,1904.5,1830.3,1787.2,2278.9,1869.4,1555.8,1628.6
Cd53,400.1,213.6,397.6,352.4,542.9,306.0,398.1,224.1,1176.3,144.4
Mt2,82.7,90.0,61.0,63.6,146.7,79.2,136.8,6.6,46.0,12.2
Psmb1,3796.0,3436.4,3769.5,4154.4,3865.9,3151.1,4637.3,3502.2,3949.0,3565.3
Anxa1,387.9,281.9,414.2,322.0,733.7,388.5,499.2,322.3,1352.2,205.5
Rps11,8137.0,7626.4,7700.8,7678.6,7299.7,6233.9,8773.6,6576.0,6639.8,6780.0
Dazap2,2076.1,1189.6,2055.3,1728.9,2429.2,1875.0,1793.7,1973.6,2429.7,2110.6
Vim,1930.1,2438.8,1821.4,2179.5,2203.8,1814.3,1572.6,1876.7,2124.7,1944.6
Emilin2,1565.8,2148.2,1079.9,1489.8,796.4,1543.0,1213.9,1657.2,1804.7,2029.4
mt.Nd5,8876.0,6534.5,6933.4,7667.6,8133.4,5445.0,8167.6,5264.9,7536.7,5830.3
Lcn2,14.3,13.0,1.8,11.1,17.3,1.1,11.2,1.3,34.5,0.7
Gsn,137.8,259.2,608.4,1015.8,1188.6,1089.4,183.6,319.7,226.6,204.0
Ndufv3,1356.5,1294.7,1279.6,1514.7,1077.9,1087.3,1548.3,1477.9,1429.3,1450.4
Tpr,7021.4,3470.0,8616.2,4842.7,6011.0,7469.8,9244.7,5545.1,6235.3,6678.0
Rpl35a,7202.1,6490.0,7087.8,7671.7,8166.8,5867.1,8610.6,4147.6,4419.8,5087.5
Atp5pb,3538.8,2411.7,4098.7,3395.7,4212.8,3808.7,4377.9,3182.5,3510.7,3461.1
Eif5a,3159.1,3005.9,3422.8,3094.4,2886.8,3108.8,3465.6,6006.5,6614.8,5959.6
Adssl1,350.1,308.0,266.3,225.3,444.2,269.1,212.6,472.6,1544.3,400.9
Gabarap,1381.0,1499.7,1525.6,1578.3,1484.7,1416.1,1586.7,1688.8,1894.0,1402.3
Ddx5,6647.8,4583.7,6450.8,4954.6,6128.4,5850.8,6444.1,5473.9,5109.0,5576.7
Srrm1,4916.7,1980.1,5489.2,3619.6,4236.8,4617.1,5935.5,4301.2,4866.2,5204.6
Rpl35,4671.7,3509.0,3816.7,3811.7,3749.9,3476.6,5445.7,3548.4,4201.3,3800.2
Pfn1,2682.4,2614.4,2498.2,2431.0,2704.0,2586.9,4060.4,912.3,1014.6,1137.9
Hspa5,3408.1,3534.0,3785.2,2154.6,2942.8,3439.8,3401.9,2259.0,4296.7,2698.9
Hint1,4488.0,3929.8,4279.9,4349.3,4142.1,3369.2,4437.8,4547.7,5057.6,3891.4
Pgd,898.2,1043.2,790.5,982.6,711.0,765.0,641.6,988.8,1684.3,965.5
Atpif1,3851.1,3966.7,3997.0,3855.9,3280.3,3036.1,3957.3,4397.4,5737.4,4730.5
Chchd2,4196.1,4742.0,4723.7,4745.9,4135.4,3691.5,5031.7,3884.6,3904.3,3694.6
Serp1,1031.9,625.7,1063.3,768.4,1161.9,957.1,972.2,1129.2,1756.0,1028.7
Ak2,2510.9,2489.7,2771.0,2764.1,2285.1,2496.8,3075.0,2342.1,1958.3,2272.9
Rps3a1,7727.7,9656.4,8474.7,11548.4,9671.5,6986.9,8395.2,5218.8,5394.5,4678.8
Tecr,2813.0,2188.3,2774.7,2866.4,2202.4,2521.8,2798.7,3696.7,4181.0,3504.2
Actr3,1703.5,1116.9,1581.0,1391.7,1783.6,1459.5,1592.3,1391.5,1996.1,1523.0
Alas1,115.3,113.9,130.4,146.5,110.7,162.8,126.4,123.3,1273.0,127.2
Tspo,850.2,877.3,1044.8,1102.9,1075.2,950.5,1050.9,1102.2,2385.1,1476.3
Ncl,10785.7,15685.5,16994.7,13924.1,9975.7,14852.8,16766.9,12112.5,10667.2,12739.7
Cox6a1,2218.0,1630.9,2119.1,1672.3,2013.0,1728.6,2422.2,2634.1,3223.2,2938.9
Eef1a1,7247.0,5965.2,7004.6,10064.1,8712.4,5940.9,6358.9,2426.5,2360.7,2005.0
Mdh2,2830.4,2907.2,2677.6,2089.7,2283.8,2280.9,3016.9,2230.0,2882.9,2545.2
Selenbp1,188.8,200.6,180.3,194.9,182.8,153.0,161.1,210.9,252.3,273.0
Pygl,288.9,369.8,261.7,337.2,240.1,259.3,235.1,254.4,656.1,280.2
H2ax,3001.9,2952.8,2814.4,2486.3,2725.4,2757.2,3433.7,3106.7,3529.6,3051.7
Ctsb,1154.4,881.6,1259.3,1010.3,1378.0,1215.3,974.1,1431.1,2100.3,929.6
Manf,1606.6,1177.6,1624.5,1495.4,1587.5,1562.5,1907.0,1493.7,2823.4,1566.8
Krtcap2,3830.7,3215.2,3484.7,3735.7,3345.7,2850.5,3690.4,3579.4,4618.0,2770.1
Rbm39,3274.4,3550.3,3780.6,3655.5,3601.8,3629.6,4449.1,3083.7,3125.8,3698.2
Srrm2,5634.3,6556.1,5155.5,4242.9,4240.8,4674.6,5643.3,5217.4,5690.1,6436.6
Ppia,5164.7,2701.2,5370.0,7631.7,5485.4,4324.1,5840.9,1950.5,1759.4,1686.0
Ubxn1,2998.8,3532.9,4128.3,3615.4,3209.6,3448.4,3520.9,3450.8,2900.5,3039.4
Ybx3,6154.8,3299.8,5427.3,5022.4,5409.4,5987.6,5855.9,5233.3,7258.1,6218.3
H2.Ab1,85.7,33.6,96.2,71.9,81.4,58.6,84.3,192.5,54.8,107.0
Ero1l,94.9,81.3,134.1,99.5,140.1,146.5,148.0,65.3,251.0,134.3
Basp1,842.1,1009.6,925.5,1274.2,807.1,739.0,806.5,560.3,179.9,246.4
M6pr,1293.2,1122.3,1278.7,1126.4,1402.0,1245.7,1446.2,1147.6,1717.4,1237.0
